race,age_group,estimate,Perc (%)
White,15-19,37400,0.01954
White,20-24,62938,0.032882
White,25-29,116953,0.061103
White,30-34,111624,0.058319
White,35-44,163247,0.08529
White,45-54,106300,0.055537
White,55-64,107677,0.056257
White,65-74,85640,0.044743
White,75-84,42072,0.021981
Black or African American,15-19,44006,0.022991
Black or African American,20-24,51062,0.026678
Black or African American,25-29,65332,0.034133
Black or African American,30-34,54894,0.02868
Black or African American,35-44,96561,0.050449
Black or African American,45-54,88002,0.045977
Black or African American,55-64,102388,0.053493
Black or African American,65-74,75085,0.039229
Black or African American,75-84,37042,0.019353
American Indian and Alaska Native,15-19,3935,0.002056
American Indian and Alaska Native,20-24,1953,0.00102
American Indian and Alaska Native,25-29,1492,0.00078
American Indian and Alaska Native,30-34,2790,0.001458
American Indian and Alaska Native,35-44,5671,0.002963
American Indian and Alaska Native,45-54,4104,0.002144
American Indian and Alaska Native,55-64,2492,0.001302
American Indian and Alaska Native,65-74,937,0.00049
American Indian and Alaska Native,75-84,865,0.000452
Asian,15-19,7249,0.003787
Asian,20-24,14409,0.007528
Asian,25-29,21646,0.011309
Asian,30-34,24101,0.012592
Asian,35-44,31430,0.016421
Asian,45-54,20692,0.010811
Asian,55-64,17915,0.00936
Asian,65-74,13915,0.00727
Asian,75-84,8215,0.004292
Native Hawaiian and Other Pacific Islander,15-19,153,8e-05
Native Hawaiian and Other Pacific Islander,20-24,41,2.1e-05
Native Hawaiian and Other Pacific Islander,25-29,70,3.7e-05
Native Hawaiian and Other Pacific Islander,30-34,148,7.7e-05
Native Hawaiian and Other Pacific Islander,35-44,217,0.000113
Native Hawaiian and Other Pacific Islander,45-54,158,8.3e-05
Native Hawaiian and Other Pacific Islander,55-64,18,9e-06
Native Hawaiian and Other Pacific Islander,65-74,19,1e-05
Native Hawaiian and Other Pacific Islander,75-84,23,1.2e-05
Some other race,15-19,29187,0.015249
Some other race,20-24,28810,0.015052
Some other race,25-29,31321,0.016364
Some other race,30-34,25538,0.013343
Some other race,35-44,50687,0.026482
Some other race,45-54,46343,0.024212
Some other race,55-64,37452,0.019567
Some other race,65-74,23180,0.012111
Some other race,75-84,8632,0.00451
